HOG	OG	Gene Tree Parent Clade	Arachis_hypogaea	Brassica_napus	Capsicum_anuum	Prunus_persica	Solanum_lycopersicum
N3.HOG0017621	OG0014753	n0			CA07g03690		Solyc07T000272.1
N3.HOG0017622	OG0014757	n0			CA02g20770		Solyc02T001984.1
N3.HOG0017623	OG0014758	n0					Solyc11T001678.1
N3.HOG0017624	OG0014759	n0			CA05g12540		Solyc04T000034.1
N3.HOG0017625	OG0014760	n0			CA00g87300		Solyc07T000623.1
N3.HOG0017626	OG0014761	n0					Solyc01T002146.1
N3.HOG0017627	OG0014762	n0					Solyc01T001798.1
N3.HOG0017628	OG0014763	n0					Solyc08T002216.1
N3.HOG0017629	OG0014764	n0			CA01g32690		
N3.HOG0017630	OG0014765	n0			CA02g20870		
N3.HOG0017631	OG0014766	n0					Solyc03T002643.1
N3.HOG0017632	OG0014767	n0			CA09g16580		Solyc07T001244.1, Solyc12T000293.1
N3.HOG0017633	OG0014768	n0					Solyc02T002006.1
N3.HOG0017634	OG0014769	n0			CA04g00690		
N3.HOG0017635	OG0014770	n0			CA04g06470		Solyc03T000796.3
N3.HOG0017636	OG0014771	n0			CA01g02300		Solyc08T002386.1
N3.HOG0017637	OG0014772	n0			CA08g13580		Solyc01T003479.1
N3.HOG0017638	OG0014773	n0					Solyc03T002578.1, Solyc03T002579.1
N3.HOG0017639	OG0014777	n0					Solyc02T001404.1
N3.HOG0017640	OG0014778	n0					Solyc07T001384.1
N3.HOG0017641	OG0014779	n0			CA04g18860		Solyc04T000389.1
N3.HOG0017642	OG0014781	n0					Solyc01T002173.1
N3.HOG0017643	OG0014782	n0			CA03g26650		Solyc03T002522.1, Solyc08T001160.1
N3.HOG0017644	OG0014783	n0			CA07g09880		Solyc07T001555.1
N3.HOG0017645	OG0014784	n0			CA07g02990		Solyc12T000450.1, Solyc07T000238.1
N3.HOG0017646	OG0014786	n0			CA06g18200, CA06g18210		Solyc06T001870.1
N3.HOG0017647	OG0014787	n0					Solyc08T000201.2
N3.HOG0017648	OG0014788	n0					Solyc07T000129.2
N3.HOG0017649	OG0014789	n0			CA02g25540, CA02g25530		Solyc02T002602.1
N3.HOG0017650	OG0014790	n0			CA07g20750		Solyc07T002757.1
N3.HOG0017651	OG0014791	n0			CA09g17160		Solyc12T000326.1
N3.HOG0017652	OG0014792	n0					Solyc01T001952.1
N3.HOG0017653	OG0014793	n0			CA07g01270		Solyc07T000110.1
N3.HOG0017654	OG0014794	n0			CA02g20270		
N3.HOG0017655	OG0014795	n0			CA10g02890		
N3.HOG0017656	OG0014796	n0			CA00g83070		Solyc10T000128.1
N3.HOG0017657	OG0014797	n2			CA06g19520		Solyc06T001969.1
N3.HOG0017658	OG0014797	n3			CA00g90460		Solyc03T002658.1
N3.HOG0017659	OG0014798	n0					Solyc01T001635.1
N3.HOG0017660	OG0014799	n0			CA06g19180		Solyc06T001940.1
N3.HOG0017661	OG0014800	n0			CA01g33610		Solyc08T002012.1, Solyc08T000209.1
N3.HOG0017662	OG0014801	n0			CA03g29890		Solyc03T002858.1
N3.HOG0017663	OG0014802	n0			CA06g25570		Solyc06T002549.1
N3.HOG0017664	OG0014803	n0			CA07g01680		Solyc07T000088.1
N3.HOG0017665	OG0014804	n0			CA01g26150		Solyc01T001895.1
N3.HOG0017666	OG0014805	n0					Solyc09T002667.2
N3.HOG0017667	OG0014807	n0					Solyc07T002719.1
N3.HOG0017668	OG0014808	n0			CA02g30540		Solyc02T002900.1
N3.HOG0017669	OG0014809	n0			CA06g05410		Solyc06T000103.1
N3.HOG0017670	OG0014810	n0					Solyc07T000617.1
N3.HOG0017671	OG0014811	n0					Solyc07T000733.1
N3.HOG0017672	OG0014812	n0			CA01g05600		Solyc08T002126.1
N3.HOG0017673	OG0014813	n0			CA02g27540		Solyc02T002426.1
N3.HOG0017674	OG0014814	n3			CA08g12540		Solyc01T003326.1
N3.HOG0017675	OG0014814	n4			CA08g12530		Solyc01T003327.1
N3.HOG0017676	OG0014817	n0			CA02g07940		Solyc02T000925.1
N3.HOG0017677	OG0014818	n0			CA00g18780		Solyc11T000014.1
N3.HOG0017678	OG0014819	n0			CA04g06780		
N3.HOG0017679	OG0014821	n0			CA02g25820		Solyc02T002564.1
N3.HOG0017680	OG0014822	n0			CA03g14880		
N3.HOG0017681	OG0014823	n0			CA02g25670		Solyc02T002584.1
N3.HOG0017682	OG0014824	n0			CA07g19570		Solyc07T002575.1
N3.HOG0017683	OG0014825	n0			CA01g01440		Solyc08T002447.1, Solyc12T001684.1, Solyc05T001488.1
N3.HOG0017684	OG0014826	n0			CA02g25570		Solyc02T002597.1
N3.HOG0017685	OG0014827	n0			CA03g18720		Solyc03T000309.1
N3.HOG0017686	OG0014828	n0			CA00g84050		Solyc08T002499.1
N3.HOG0017687	OG0014829	n0					Solyc09T000406.1
N3.HOG0017688	OG0014831	n0			CA06g13900		Solyc06T001620.1
N3.HOG0017689	OG0014833	n0			CA10g21270		Solyc10T002281.1
N3.HOG0017690	OG0014834	n0					Solyc01T003119.2
N3.HOG0017691	OG0014835	n0					Solyc10T002515.1
N3.HOG0017692	OG0014836	n0					Solyc12T001045.1
N3.HOG0017693	OG0014838	n0			CA00g32570		Solyc01T002650.1
N3.HOG0017694	OG0014839	n0					Solyc03T001073.1
N3.HOG0017695	OG0014840	n0			CA04g16610		Solyc04T002520.1
N3.HOG0017696	OG0014841	n3			CA02g00320		Solyc02T001154.1
N3.HOG0017697	OG0014841	n4			CA02g03280		Solyc02T000384.1
N3.HOG0017698	OG0014842	n0					Solyc10T002906.1
N3.HOG0017699	OG0014843	n0			CA00g06800		Solyc08T000165.1
N3.HOG0017700	OG0014844	n0			CA01g29110		Solyc08T000419.1
N3.HOG0017701	OG0014845	n0			CA00g43870		Solyc01T003231.1
N3.HOG0017702	OG0014846	n0			CA05g10750		Solyc04T001582.1, Solyc05T002149.1
N3.HOG0017703	OG0014848	n0					Solyc06T002785.1
N3.HOG0017704	OG0014850	n0			CA06g14920		Solyc06T001552.1
N3.HOG0017705	OG0014851	n0					Solyc12T000895.3
N3.HOG0017706	OG0014852	n0			CA12g07040		Solyc01T002908.1
N3.HOG0017707	OG0014853	n0					Solyc05T002699.1
N3.HOG0017708	OG0014854	n0			CA03g08020		Solyc09T002300.1
N3.HOG0017709	OG0014855	n0			CA09g12090		Solyc03T001513.1
N3.HOG0017710	OG0014856	n0					Solyc10T001155.4
N3.HOG0017711	OG0014857	n0			CA02g31300		Solyc02T002976.1
N3.HOG0017712	OG0014858	n0					Solyc08T000317.1
N3.HOG0017713	OG0014859	n0			CA04g07300		
N3.HOG0017714	OG0014860	n0			CA10g20420		Solyc10T002324.2
N3.HOG0017715	OG0014861	n0			CA12g21030		Solyc05T002705.1, Solyc07T000313.1
N3.HOG0017716	OG0014862	n0					Solyc10T002535.1
N3.HOG0017717	OG0014863	n0			CA05g00870		
N3.HOG0017718	OG0014864	n0			CA03g24880		Solyc09T002269.1
N3.HOG0017719	OG0014865	n0					Solyc12T001229.1
N3.HOG0017720	OG0014866	n0			CA06g01360, CA10g04010		Solyc06T000230.1
N3.HOG0017721	OG0014867	n0			CA00g16040		Solyc08T000843.1
N3.HOG0017722	OG0014868	n0			CA10g17440		Solyc10T002601.1
N3.HOG0017723	OG0014869	n0			CA02g00080		Solyc02T001018.1
N3.HOG0017724	OG0014871	n0			CA01g22050		Solyc01T002065.1
N3.HOG0017725	OG0014872	n0					Solyc08T000999.1
N3.HOG0017726	OG0014873	n0			CA08g10330		Solyc01T003097.1
N3.HOG0017727	OG0014875	n0			CA03g10880		Solyc09T002059.1
N3.HOG0017728	OG0014876	n0			CA00g00170		
N3.HOG0017729	OG0014877	n0					Solyc08T001784.1
N3.HOG0017730	OG0014878	n0			CA10g14950, CA10g14770		Solyc10T002723.1
N3.HOG0017731	OG0014879	n0			CA03g19480		
N3.HOG0017732	OG0014880	n0			CA00g77020, CA08g12390		Solyc01T003344.1
N3.HOG0017733	OG0014882	n0					Solyc06T002687.1
N3.HOG0017734	OG0014884	n0			CA03g24830		
N3.HOG0017735	OG0014885	n0			CA00g66920		Solyc01T003291.1
N3.HOG0017736	OG0014887	n0			CA08g03040		Solyc08T000830.1
N3.HOG0017737	OG0014888	n0					Solyc08T001157.2
N3.HOG0017738	OG0014889	n0					Solyc01T002973.1
N3.HOG0017739	OG0014890	n0			CA02g31370		Solyc02T002985.2
N3.HOG0017740	OG0014891	n2			CA02g30470		Solyc02T002893.1
N3.HOG0017741	OG0014891	n3			CA02g09090		Solyc02T001050.2
N3.HOG0017742	OG0014892	n0			CA02g06710, CA03g09280, CA06g24000		Solyc08T001361.1
N3.HOG0017743	OG0014893	n0			CA01g24090		Solyc01T002117.1
N3.HOG0017744	OG0014894	n0					Solyc10T002443.1
N3.HOG0017745	OG0014895	n0			CA02g31280		
N3.HOG0017746	OG0014896	n0					Solyc09T001942.1, Solyc03T003222.1
N3.HOG0017747	OG0014897	n0			CA04g22780		
N3.HOG0017748	OG0014898	n0					Solyc10T000454.1
N3.HOG0017749	OG0014899	n0			CA04g18730		Solyc04T002671.1
N3.HOG0017750	OG0014901	n0					Solyc02T000210.1
N3.HOG0017751	OG0014902	n0			CA09g00130		Solyc09T000422.1
N3.HOG0017752	OG0014903	n0			CA08g10720		Solyc01T003137.1
N3.HOG0017753	OG0014904	n0			CA00g67050		Solyc01T003304.1
N3.HOG0017754	OG0014905	n0					Solyc09T002306.1
N3.HOG0017755	OG0014906	n0			CA10g00770		Solyc10T000055.3
N3.HOG0017756	OG0014907	n0					Solyc12T001377.1
N3.HOG0017757	OG0014909	n0			CA10g22340		Solyc10T002193.1
N3.HOG0017758	OG0014910	n0					Solyc06T001586.1
N3.HOG0017759	OG0014912	n0			CA02g30700		Solyc03T000004.1, Solyc02T002920.1
N3.HOG0017760	OG0014913	n0					Solyc01T003311.1
N3.HOG0017761	OG0014914	n0					Solyc08T001587.2, Solyc08T001586.1
N3.HOG0017762	OG0014915	n0					Solyc08T000155.1
N3.HOG0017763	OG0014916	n0			CA06g00080		Solyc06T000304.1
N3.HOG0017764	OG0014918	n0			CA02g29720		PRAM_26276.1.p1
N3.HOG0017765	OG0014919	n0					Solyc08T000148.1
N3.HOG0017766	OG0014920	n0			CA09g00150		Solyc09T000420.1
N3.HOG0017767	OG0014921	n0			CA05g00390		Solyc04T000721.1
N3.HOG0017768	OG0014923	n0			CA03g24470		Solyc03T002397.1
N3.HOG0017769	OG0014924	n0			CA01g24910		Solyc01T002172.1
N3.HOG0017770	OG0014925	n0			CA10g09740		Solyc09T000980.1
N3.HOG0017771	OG0014926	n0			CA07g02500		Solyc07T000008.1
N3.HOG0017772	OG0014927	n0			CA02g14790		
N3.HOG0017773	OG0014928	n0			CA01g26440		Solyc01T002332.1
N3.HOG0017774	OG0014929	n0			CA00g20880		Solyc07T000292.1
N3.HOG0017775	OG0014930	n0			CA07g19740		Solyc07T002646.1
N3.HOG0017776	OG0014931	n0			CA07g04380		Solyc07T000325.1
N3.HOG0017777	OG0014932	n0			CA05g16580		Solyc05T002448.1
N3.HOG0017778	OG0014933	n0			CA02g25120		Solyc02T002774.1
N3.HOG0017779	OG0014934	n0			CA09g10800		Solyc09T000944.1
N3.HOG0017780	OG0014935	n0			CA01g14160		
N3.HOG0017781	OG0014936	n0			CA07g00430		Solyc07T000186.1
N3.HOG0017782	OG0014938	n0			CA07g16220, CA07g16250, CA07g16240		
N3.HOG0017783	OG0014940	n0			CA05g06960		
N3.HOG0017784	OG0014942	n0			CA07g20800		Solyc07T002763.1
N3.HOG0017785	OG0014943	n0					Solyc04T002402.1
N3.HOG0017786	OG0014944	n0					Solyc03T002006.1
N3.HOG0017787	OG0014945	n0					Solyc09T001136.1
N3.HOG0017788	OG0014946	n0			CA02g00270		
N3.HOG0017789	OG0014947	n0			CA11g15330		Solyc09T000103.1
N3.HOG0017790	OG0014948	n0					Solyc04T002177.1
N3.HOG0017791	OG0014950	n0			CA05g06790		
N3.HOG0017792	OG0014952	n0			CA12g02500		
N3.HOG0017793	OG0014954	n0			CA02g27550		Solyc05T000698.1, Solyc02T002425.1
N3.HOG0017794	OG0014955	n0			CA07g19150		Solyc07T002610.1
N3.HOG0017795	OG0014956	n0					Solyc10T000713.4
N3.HOG0017796	OG0014957	n0			CA06g07170		Solyc06T000850.1
N3.HOG0017797	OG0014958	n0			CA06g25020		
N3.HOG0017798	OG0014959	n0			CA11g15540		Solyc11T002428.1
N3.HOG0017799	OG0014960	n0					Solyc06T000995.1
N3.HOG0017800	OG0014961	n0			CA07g16690		Solyc07T002410.1
N3.HOG0017801	OG0014962	n0			CA05g13970, CA05g13990		
N3.HOG0017802	OG0014963	n0					Solyc07T001822.1
N3.HOG0017803	OG0014965	n0			CA02g20290, CA02g06450		Solyc02T000577.1
N3.HOG0017804	OG0014967	n0					Solyc11T000679.1
N3.HOG0017805	OG0014968	n0					Solyc04T002304.1
N3.HOG0017806	OG0014969	n0			CA06g21020		Solyc07T001501.1
N3.HOG0017807	OG0014970	n0			CA04g07940		Solyc03T000813.1
N3.HOG0017808	OG0014971	n0					Solyc12T000117.1, Solyc07T001788.2
N3.HOG0017809	OG0014973	n0					Solyc09T001494.1
N3.HOG0017810	OG0014974	n0			CA02g03510		Solyc07T001424.4, Solyc02T000293.1
N3.HOG0017811	OG0014975	n0			CA07g19720		Solyc07T002644.1
N3.HOG0017812	OG0014977	n0					Solyc07T002618.1
N3.HOG0017813	OG0014978	n0					Solyc04T002360.1
N3.HOG0017814	OG0014979	n0					Solyc02T002415.1, Solyc01T004245.1, Solyc01T004241.1, Solyc01T003473.1, Solyc02T002849.2
N3.HOG0017815	OG0014980	n0					Solyc07T000168.1
N3.HOG0017816	OG0014981	n0					Solyc06T002570.1
N3.HOG0017817	OG0014982	n0			CA07g19220		Solyc07T002605.1
N3.HOG0017818	OG0014984	n0					Solyc04T000447.1
N3.HOG0017819	OG0014985	n0					Solyc11T002205.1
N3.HOG0017820	OG0014986	n0			CA02g19550		Solyc02T001862.1
N3.HOG0017821	OG0014987	n0					Solyc07T002130.1
N3.HOG0017822	OG0014988	n0					Solyc11T000495.1
N3.HOG0017823	OG0014989	n0					Solyc07T001771.1
N3.HOG0017824	OG0014990	n0			CA10g00750		Solyc10T000053.1
N3.HOG0017825	OG0014991	n0			CA00g67190		Solyc05T002767.1
N3.HOG0017826	OG0014992	n0			CA07g20330		Solyc07T002710.1
N3.HOG0017827	OG0014994	n0			CA12g10780		
N3.HOG0017828	OG0014995	n0					Solyc09T001321.1
N3.HOG0017829	OG0014996	n0			CA03g31210		Solyc03T003118.1
N3.HOG0017830	OG0014997	n0			CA02g29190		Solyc02T002294.1
N3.HOG0017831	OG0014998	n0			CA07g14590		Solyc07T002230.1
N3.HOG0017832	OG0014999	n0			CA07g09670		Solyc07T001743.1
N3.HOG0017833	OG0015000	n0			CA08g02710, CA01g12740, CA01g12700, CA11g14510		Solyc12T001543.1
N3.HOG0017834	OG0015001	n0			CA09g00540		Solyc09T000471.1
N3.HOG0017835	OG0015002	n0			CA06g14280		Solyc08T001530.1, Solyc06T001585.1
N3.HOG0017836	OG0015003	n0			CA04g23650		Solyc04T003040.1
N3.HOG0017837	OG0015004	n0			CA03g12520		Solyc03T001874.1
N3.HOG0017838	OG0015005	n0			CA04g07380		Solyc11T000683.1
N3.HOG0017839	OG0015006	n0			CA07g05280		Solyc07T001499.1
N3.HOG0017840	OG0015007	n0			CA02g16850, CA00g94940		Solyc02T001632.1
N3.HOG0017841	OG0015008	n0			CA01g04230		Solyc08T002224.2
N3.HOG0017842	OG0015009	n0			CA02g14620		Solyc05T001182.1
N3.HOG0017843	OG0015010	n0			CA01g19630		Solyc01T004199.1
N3.HOG0017844	OG0015011	n0			CA11g04730		Solyc05T000240.3
N3.HOG0017845	OG0015012	n0			CA01g00760		Solyc08T002522.1
N3.HOG0017846	OG0015013	n0			CA05g02020		Solyc04T000525.1
N3.HOG0017847	OG0015015	n0			CA02g13440		Solyc12T001900.1, Solyc12T001897.1
N3.HOG0017848	OG0015016	n0			CA05g00440		Solyc04T000729.1
N3.HOG0017849	OG0015017	n0			CA02g29010		Solyc02T002312.1
N3.HOG0017850	OG0015018	n0			CA02g17440		Solyc02T001677.2
N3.HOG0017851	OG0015019	n2			CA03g15890		Solyc03T001789.1
N3.HOG0017852	OG0015019	n3			CA04g09160		Solyc11T000940.1
N3.HOG0017853	OG0015020	n0			CA03g22660		Solyc03T002228.1
N3.HOG0017854	OG0015021	n0			CA08g01630		Solyc01T000046.1
N3.HOG0017855	OG0015022	n0			CA11g06880		Solyc05T000103.1
N3.HOG0017856	OG0015023	n0			CA03g30760		Solyc03T003088.1
N3.HOG0017857	OG0015024	n0			CA11g04370		Solyc05T000263.1
N3.HOG0017858	OG0015025	n0			CA08g18010, CA08g10740		Solyc01T004095.1
N3.HOG0017859	OG0015026	n0			CA02g15150, CA01g20850, CA02g15160		Solyc01T002445.1
N3.HOG0017860	OG0015027	n0			CA12g00090		Solyc05T002756.1
N3.HOG0017861	OG0015028	n0			CA02g14990		Solyc12T000785.1
N3.HOG0017862	OG0015029	n0			CA02g04430		Solyc02T001488.1
N3.HOG0017863	OG0015030	n0			CA09g12070		Solyc11T000375.1
N3.HOG0017864	OG0015031	n0			CA02g19730		Solyc02T001881.1
N3.HOG0017865	OG0015032	n0			CA01g19390		Solyc01T002771.1
N3.HOG0017866	OG0015036	n0					Solyc04T001924.1
N3.HOG0017867	OG0015037	n0			CA04g10000, CA08g15030		Solyc01T003536.1
N3.HOG0017868	OG0015038	n0			CA08g06970		Solyc01T002815.1, Solyc01T001445.1
N3.HOG0017869	OG0015039	n0			CA00g64150		Solyc03T000198.1
N3.HOG0017870	OG0015040	n0			CA07g09560		Solyc07T001753.2
N3.HOG0017871	OG0015041	n0			CA01g19470		Solyc01T002780.1
N3.HOG0017872	OG0015042	n0			CA06g21010		
N3.HOG0017873	OG0015043	n0			CA02g27750		
N3.HOG0017874	OG0015046	n0			CA03g03130		
N3.HOG0017875	OG0015047	n0					Solyc10T000538.3
N3.HOG0017876	OG0015048	n0					Solyc04T001923.1
N3.HOG0017877	OG0015049	n0			CA02g10610		
N3.HOG0017878	OG0015052	n0					Solyc02T001717.1
N3.HOG0017879	OG0015053	n0			CA10g11170		Solyc10T002135.1
N3.HOG0017880	OG0015055	n0			CA08g07610		Solyc10T000528.1, Solyc01T002879.1
N3.HOG0017881	OG0015057	n0			CA06g15140		Solyc11T001103.1, Solyc11T002184.1
N3.HOG0017882	OG0015058	n0			CA02g00650		
N3.HOG0017883	OG0015059	n0			CA02g10390		
N3.HOG0017884	OG0015060	n0			CA03g07060		Solyc09T002381.1
N3.HOG0017885	OG0015061	n0			CA03g36780		
N3.HOG0017886	OG0015063	n0			CA00g67840		Solyc01T002617.1
N3.HOG0017887	OG0015064	n0			CA02g27770		PRAM_26301.1.p1
N3.HOG0017888	OG0015065	n0					Solyc03T003140.1
N3.HOG0017889	OG0015066	n0			CA07g06680		Solyc07T001654.1
N3.HOG0017890	OG0015067	n0			CA05g00120		Solyc03T000574.1
N3.HOG0017891	OG0015068	n0					Solyc02T000794.1
N3.HOG0017892	OG0015069	n0					Solyc01T001636.1
N3.HOG0017893	OG0015070	n0			CA02g10350		
N3.HOG0017894	OG0015071	n0			CA03g04120		Solyc09T002827.1
N3.HOG0017895	OG0015072	n0			CA03g03170, CA00g91140		Solyc12T002707.1
N3.HOG0017896	OG0015073	n0			CA07g07870		Solyc07T001686.1
N3.HOG0017897	OG0015074	n0					Solyc01T002168.1
N3.HOG0017898	OG0015075	n0					Solyc02T000300.2
N3.HOG0017899	OG0015077	n0					Solyc10T001098.2
N3.HOG0017900	OG0015078	n0			CA02g17310		Solyc11T000621.1
N3.HOG0017901	OG0015080	n0			CA11g05370		Solyc05T000208.1
N3.HOG0017902	OG0015081	n0			CA02g23770		Solyc02T002214.1
N3.HOG0017903	OG0015082	n0					Solyc10T000756.1
N3.HOG0017904	OG0015083	n0			CA07g20180		Solyc07T002692.1
N3.HOG0017905	OG0015084	n0			CA04g13990		
N3.HOG0017906	OG0015085	n0			CA08g07460		Solyc01T002867.1
N3.HOG0017907	OG0015086	n0					Solyc08T002585.1
N3.HOG0017908	OG0015088	n0			CA02g18140		Solyc02T001722.1
N3.HOG0017909	OG0015089	n0			CA02g18750		Solyc02T001776.1
N3.HOG0017910	OG0015090	n0					Solyc10T002812.1, Solyc10T002128.1, Solyc09T000792.1
N3.HOG0017911	OG0015091	n0			CA01g11430		Solyc01T000107.1
N3.HOG0017912	OG0015092	n0			CA02g10340		
N3.HOG0017913	OG0015093	n0					Solyc01T000333.1
N3.HOG0017914	OG0015094	n0			CA12g04490		
N3.HOG0017915	OG0015095	n0			CA07g01330		Solyc07T000116.1
N3.HOG0017916	OG0015096	n0			CA00g57520		Solyc05T000292.1
N3.HOG0017917	OG0015097	n0			CA09g09570		Solyc09T000868.1
N3.HOG0017918	OG0015098	n0			CA00g69010, CA02g23960		Solyc02T002651.1
N3.HOG0017919	OG0015099	n0			CA04g10300		Solyc11T000899.1
N3.HOG0017920	OG0015100	n0			CA02g27510, CA02g27610		Solyc02T002421.1
N3.HOG0017921	OG0015101	n0			CA03g08050		Solyc09T002304.3
N3.HOG0017922	OG0015102	n0			CA02g10590		PRAM_26005.1.p1
N3.HOG0017923	OG0015103	n0			CA02g18460		PRAM_26128.1.p1
N3.HOG0017924	OG0015104	n0			CA01g10730		Solyc01T000138.1
N3.HOG0017925	OG0015105	n0			CA05g18510		Solyc05T002562.1
N3.HOG0017926	OG0015106	n0			CA02g26450		Solyc02T002512.1
N3.HOG0017927	OG0015107	n0			CA11g08590		Solyc05T001071.1
N3.HOG0017928	OG0015108	n0			CA04g06520		Solyc03T001148.1
N3.HOG0017929	OG0015109	n0			CA12g04380		Solyc11T000337.2
N3.HOG0017930	OG0015110	n0			CA01g19350		Solyc01T002767.1
N3.HOG0017931	OG0015111	n0			CA11g13880		Solyc11T002530.1
N3.HOG0017932	OG0015113	n0			CA03g36540		Solyc03T003590.1
N3.HOG0017933	OG0015114	n0			CA03g35960		
N3.HOG0017934	OG0015115	n0			CA06g25080		Solyc05T000013.1, Solyc06T002505.1, Solyc06T002506.1
N3.HOG0017935	OG0015116	n0			CA10g08850		Solyc10T002052.1
N3.HOG0017936	OG0015117	n0					Solyc11T000615.1
N3.HOG0017937	OG0015118	n0					Solyc06T001089.1
N3.HOG0017938	OG0015119	n0					Solyc05T002091.1
N3.HOG0017939	OG0015120	n0			CA01g27810		Solyc01T002643.1
N3.HOG0017940	OG0015121	n0			CA10g10040		Solyc10T000719.1
N3.HOG0017941	OG0015122	n0			CA03g36560		Solyc03T003585.1
N3.HOG0017942	OG0015123	n0			CA10g07030		Solyc10T001635.1
N3.HOG0017943	OG0015124	n0					Solyc05T002208.1
N3.HOG0017944	OG0015125	n0					Solyc04T000290.1
N3.HOG0017945	OG0015126	n0					Solyc01T000217.1
N3.HOG0017946	OG0015127	n0			CA02g16120		Solyc02T001557.1
N3.HOG0017947	OG0015128	n0			CA00g84300		Solyc04T002626.1
N3.HOG0017948	OG0015129	n0					Solyc06T001889.1
N3.HOG0017949	OG0015130	n0			CA00g60590		Solyc01T003661.1
N3.HOG0017950	OG0015131	n0			CA07g02640		Solyc07T000208.1
N3.HOG0017951	OG0015132	n0					Solyc04T001989.3
N3.HOG0017952	OG0015133	n0			CA12g14230		Solyc04T001681.1
N3.HOG0017953	OG0015134	n0			CA12g18700		Solyc12T002555.1
N3.HOG0017954	OG0015136	n0			CA03g34120		Solyc06T001048.1, Solyc03T003297.1
N3.HOG0017955	OG0015138	n0			CA01g21000		Solyc01T002459.1
N3.HOG0017956	OG0015139	n0			CA12g15900		Solyc05T001277.1
N3.HOG0017957	OG0015140	n0			CA01g23680		Solyc01T002195.1
N3.HOG0017958	OG0015141	n0					Solyc01T002712.1
N3.HOG0017959	OG0015142	n0					Solyc05T001998.1, Solyc09T001580.1, Solyc09T000739.1, Solyc11T000738.1, Solyc01T001579.1
N3.HOG0017960	OG0015143	n0			CA05g05810		Solyc04T000295.3
N3.HOG0017961	OG0015144	n0			CA05g05790		Solyc04T000297.1
N3.HOG0017962	OG0015145	n0			CA06g20180		Solyc06T002034.1
N3.HOG0017963	OG0015146	n0			CA08g17030		Solyc01T003917.1
N3.HOG0017964	OG0015147	n0					Solyc08T001667.1
N3.HOG0017965	OG0015148	n0					Solyc07T000405.1
N3.HOG0017966	OG0015149	n0			CA10g16790		Solyc10T002621.3
N3.HOG0017967	OG0015150	n0			CA02g10140		Solyc02T001105.1
N3.HOG0017968	OG0015151	n0			CA01g00770		Solyc08T002521.1
N3.HOG0017969	OG0015152	n0					Solyc08T001719.1
N3.HOG0017970	OG0015153	n0			CA02g30070		Solyc02T002855.3
N3.HOG0017971	OG0015154	n0			CA04g17670		Solyc04T002567.1
N3.HOG0017972	OG0015155	n0			CA03g13930		Solyc03T001161.1
N3.HOG0017973	OG0015156	n0					Solyc12T001138.1, Solyc12T001141.1
N3.HOG0017974	OG0015157	n0			CA00g66940		Solyc01T003293.1, Solyc09T002036.2
N3.HOG0017975	OG0015158	n0			CA00g66910		Solyc01T003290.1
N3.HOG0017976	OG0015160	n0			CA08g15560		Solyc01T003719.1
N3.HOG0017977	OG0015161	n0			CA04g09090		Solyc04T002314.1
N3.HOG0017978	OG0015162	n0			CA09g04530		Solyc01T001609.1
N3.HOG0017979	OG0015163	n0			CA00g03090		Solyc11T000865.1, Solyc11T000870.1
N3.HOG0017980	OG0015164	n0			CA03g02870		Solyc09T002636.2
N3.HOG0017981	OG0015165	n0			CA11g19160		Solyc11T002284.1
N3.HOG0017982	OG0015166	n0			CA06g01550		Solyc06T000204.1
N3.HOG0017983	OG0015167	n0			CA04g23070		Solyc04T002882.1
N3.HOG0017984	OG0015168	n0					Solyc04T001184.1, Solyc04T002053.1, Solyc07T001898.1, Solyc09T000206.1, Solyc11T002492.1
N3.HOG0017985	OG0015169	n0			CA01g24360		Solyc01T002191.1
N3.HOG0017986	OG0015170	n0			CA05g11920		Solyc05T002196.4
N3.HOG0017987	OG0015185	n0					Solyc09T000514.1
N3.HOG0017988	OG0015194	n0			CA12g07640		Solyc11T000147.1
N3.HOG0017989	OG0015198	n1			CA03g18980		
N3.HOG0017990	OG0015198	n4			CA04g07450		
N3.HOG0017991	OG0015201	n0			CA11g04220		
N3.HOG0017992	OG0015203	n0			CA09g04340		Solyc09T000064.1
N3.HOG0017993	OG0015205	n0			CA05g10150		Solyc05T002024.1
N3.HOG0017994	OG0015206	n0			CA07g20240		Solyc07T002697.1
N3.HOG0017995	OG0015214	n0			CA07g15340, CA03g21890		
N3.HOG0017996	OG0015219	n0			CA03g15580		
N3.HOG0017997	OG0015223	n0			CA05g08510, CA12g05290, CA12g07580, CA02g27150		Solyc03T002762.1
N3.HOG0017998	OG0015225	n0					Solyc08T000160.1
N3.HOG0017999	OG0015236	n0					Solyc06T001481.1, Solyc06T001480.1, Solyc06T002658.1
N3.HOG0018000	OG0015242	n3			CA06g00090		Solyc06T000305.1
N3.HOG0018001	OG0015242	n4			CA06g01340		Solyc06T000244.1
N3.HOG0018002	OG0015249	n0					Solyc01T001891.1
N3.HOG0018003	OG0015251	n0			CA03g00380		
N3.HOG0018004	OG0015252	n0			CA10g16670, CA10g17150		Solyc03T000943.1
N3.HOG0018005	OG0015259	n2			CA01g29820		
N3.HOG0018006	OG0015259	n3			CA01g21160, CA01g10260		
N3.HOG0018007	OG0015272	n0			CA03g22600		Solyc03T002224.1
N3.HOG0018008	OG0015273	n0			CA00g34840		Solyc10T000534.1
N3.HOG0018009	OG0015274	n0			CA12g11400		Solyc04T001634.1
